"categoria","texto","iteracao","seed_sorteio"
"PortariaConceder","PORTARIA Nº 1234/2023/GESERH

CONSIDERANDO as disposições legais pertinentes;

CONSIDERANDO a necessidade de regularização de situação funcional,

Art. 1º Autorizar o pagamento adicional aos servidores abaixo relacionados, nos termos do artigo 78 da Lei Complementar nº 603/2009 e seus anexos:

I - Maria Claudia Ferreira Lopes, com base no processo nº 5432-12.3456/2023-GESERH, a um valor de R$ 1.500,00 (um mil quinhentos reais) mensais, retroativo a janeiro de 2023;

II - Carlos Eduardo da Silva Freitas, conforme o processo nº 7894-67.8910/2023-GESERH, no montante de R$ 2.500,00 (dois mil e quinhentos reais) mensais, com vigência a partir de fevereiro de 2023.

Art. 2º Esta Portaria entra em vigor na data de sua publicação.

Geserh,

Marcelo Calmon Dias
Secretário de Estado de Gestão e Recursos Humanos","7","10"
"PortariaConceder","PORTARIA Nº 345-S, DE 20 DE MARÇO DE 2025

O SECRETÁRIO DE ESTADO DA SAÚDE, no uso da atribuição que lhe confere o Art. 98, Inciso II da Constituição Estadual e Art. 37, Inciso IX da Constituição Federal e o que consta da Lei Complementar n.º 233 de 10/04/2002 alterada pela Lei Complementar nº 555 de 30/06/2010, Art. 6º, resolve:

CONCEDER a JOSÉ LUIZ OLIVEIRA PEREIRA, NF. 5098765, Assistente Social - Ref. QCE-06, localizado (a) no (a) Gerência de Atenção à Saúde da População Prisional, a Gratificação de Risco de Vida no percentual de 40% (quarenta por cento) do seu vencimento básico, a contar de 20/03/2025.

RAFAEL RODRIGO PACHECO SALAROLI
SECRETÁRIO DE ESTADO DA SAÚDE","8","11"
"PortariaConceder","PORTARIA Nº 423-S, DE 15 DE MAIO DE 2025.

O SECRETÁRIO DE ESTADO DA SAÚDE, no uso das atribuições que lhe confere os artigos 98, inciso II, da Constituição Estadual e o artigo 37, inciso IX, da Constituição Federal, bem como o disposto na Lei Complementar nº 645 de 12/07/2011, resolve:

CONCEDER ao servidor público estadual CLÁUDIA ALVES DA SILVA, matrícula funcional nº 8932761, lotado no Núcleo de Apoio à Saúde da Família - NASF, localizado na Região Metropolitana, a Gratificação Especial de Atividade Administrativa em percentual de 15% (quinze por cento) do seu vencimento básico, com vigência a partir de 15/05/2025.

Esta portaria entra em vigor na data de sua publicação, respeitando as disposições legais e regulamentares pertinentes.

ANTÔNIO JOAQUIM DE SOUZA
SECRETÁRIO DE ESTADO DA SAÚDE","9","12"
"PortariaConceder","PORTARIA Nº 178-S DE 24 DE MAIO DE 2025.

O SECRETÁRIO DE ESTADO DA EDUCAÇÃO, no uso das atribuições legais que lhe confere o artigo 69, alínea ""c"", da Lei Complementar nº 178 de 30 de novembro de 2005 e, tendo em vista o que consta do processo nº 2025-CX4QW; RESOLVE:

Art. 1º CONCEDER gratificação temporária aos servidores abaixo relacionados, nos termos da Lei Complementar nº 376/2012, alterada pela Lei Complementar nº 987/2020:
NÚMERO FUNCIONAL NOME CARGO A PARTIR DE
1. 54321/53 LUCAS ALVES PEREIRA PROFESSOR B 26/02/2025
2. 29873/51 MARIA APARECIDA SANTOS ASSISTENTE ADMINISTRATIVO 15/01/2025
3. 47290/54 PEDRO ROCHA DA COSTA TÉCNICO EM CONTABILIDADE 10/04/2025

Art. 2º Esta Portaria entra em vigor na data de sua publicação, com efeitos retroativos na forma mencionada no artigo 1º desta Portaria.

JOÃO VIANA DE CARVALHO
Secretário de Estado da Educação","10","13"
"PortariaConceder","PORTARIA Nº 789-S, DE 15 DE MARÇO DE 2025

O SECRETÁRIO DE ESTADO DA EDUCAÇÃO , no uso da atribuição que lhe confere o Art. 98, Inciso II da Constituição Estadual e Art.37, Inciso IX da Constituição Federal e o que consta da Lei Complementar n.º 233 de 10/04/2002 alterada pela Lei Complementar nº 555 de 30/06/2010, Art. 6º, resolve:

CONCEDER a JOSÉ CARLOS OLIVEIRA SANTOS , NF. 8917654, Assistente Escolar do Ensino Fundamental - Ref. QCE-03, localizado (a) na (a) Escola Estadual Professor Antônio Gonçalves, situada em Cachoeiro de Itapemirim, a Gratificação de Risco de Vida no percentual de 25% (vinte e cinco por cento) do seu vencimento básico, a contar de 15/03/2025.

JOÃO MARIA DA SILVA SECRETÁRIO DE ESTADO DA EDUCAÇÃO","11","14"
"PortariaConceder","PORTARIA Nº 789 S - VIGÊNCIA 1º / 05 / 2024 - PUBLICADO EM 30/06/2024

NOS TERMOS DO ARTIGO 24 DA LEI COMPLEMENTAR ESTADUAL N. 123, DE 15 DE ABRIL DE 2018 E SUAS ALTERAÇÕES:

DÁ NOVA DESIGNAÇÃO E DETERMINA AS TRANSPOSIÇÕES DOS SERVIDORES PÚBLICOS DO ESTADO DO ESPÍRITO SANTO.

CONSIDERANDO as necessidades estruturais da Secretaria de Estado da Saúde e a necessidade de adequação funcional dos servidores;

CONSIDERANDO o disposto na Constituição Estadual, no Código Civil Brasileiro, na Lei Complementar n. 123/2018 e demais disposições legais aplicáveis,

Art. 1º Designam-se os seguintes servidores para os cargos e lotações constantes da presente portaria:

I - MARIA APARECIDA SILVA, de lotação no Departamento de Saúde Comunitária, passa a ocupar o cargo de chefe do setor de planejamento na Diretoria Regional de Saúde;

II - CARLOS EDUARDO ALVES, atualmente lotado no Departamento de Ações Estratégicas em Saúde, transpõe para o cargo de especialista em saúde mental na Divisão de Programas Especiais;

III - ANA LÚCIA FERREIRA, da Diretoria Geral de Assistência Hospitalar e Ambulatorial, passa a ocupar a função de analista de sistemas no Departamento de Tecnologia da Informação.

Art. 2º Determinam-se as transposições abaixo:

I - JOÃO PEDRO OLIVEIRA é transferido para o cargo de assistente administrativo na Coordenadoria Regional de Saúde;

II - MIRELE SOUZA passa a ocupar o cargo de analista jurídico no Escritório Central de Atendimento ao Cidadão.

Art. 3º Esta portaria entra em vigor na data da sua publicação, revogadas as disposições em contrário.
Gabinete do Secretário
Estado do Espírito Santo

Brasília (ES), 25 de junho de 2024.

O SECRETÁRIO DE ESTADO DA SAÚDE,
[Assinatura]

[Carimbo]","12","15"
"PortariaConceder","PORTARIA Nº 327-S, DE 24 DE MAIO DE 2025

O SECRETÁRIO DE ESTADO DA EDUCAÇÃO , no uso da atribuição que lhe confere o Art. 98, Inciso II da Constituição Estadual e Art.37, Inciso IX da Constituição Federal e o que consta da Lei Complementar n.º 233 de 10/04/2002 alterada pela Lei Complementar nº 555 de 30/06/2010, Art. 6º, resolve:

CONCEDER a PEDRO ALVES DE OLIVEIRA , NF. 7890123, Assistente Administrativo - Ref. QCE-04, localizado (a) no (a) Gerência de Atendimento Escolar e Supervisão Pedagógica - GAESP, a Gratificação de Risco de Vida no percentual de 50% (cinquenta por cento) do seu vencimento básico, a contar de 24/05/2025.

PAULO ROBERTO FERNANDES DE MELO
SECRETÁRIO DE ESTADO DA EDUCAÇÃO","13","16"
"PortariaConceder","PORTARIA Nº 458-S, DE 27 DE MARÇO DE 2025

O SECRETÁRIO DE ESTADO DA SAÚDE, no uso da atribuição que lhe confere o Art. 98, Inciso II da Constituição Estadual e Art.37, Inciso IX da Constituição Federal e o que consta da Lei Complementar n.º 233 de 10/04/2002 alterada pela Lei Complementar nº 555 de 30/06/2010, Art. 6º, resolve:

CONCEDER a JOÃO CARLOS ALVES DE SOUZA , NF. 7894561, Técnico em Saúde - Ref. QCE-08, localizado (a) no (a) Coordenação de Vigilância Sanitária do Município de Cariacica - CVS-C, a Gratificação de Risco de Vida no percentual de 40% (quarenta por cento) do seu vencimento básico, a contar de 26/03/2025.

MARIA APARECIDA DA SILVA SECRETÁRIO DE ESTADO DA SAÚDE","14","17"
"PortariaConceder","PORTARIA Nº 124-S, DE 23 DE MARÇO DE 2025.

O SECRETÁRIO DE ESTADO DE SEGURANÇA PÚBLICA , no uso das atribuições que lhe confere o Artigo 98, Inciso II da Constituição Estadual e o Art. 37, Inciso IX da Constituição Federal e em conformidade com a Lei Complementar n.º 241 de 05/06/2003 e as diretrizes do Decreto nº 984-R de 12/09/2024, resolve:

CONCEDER ao servidor público estadual MARIA APARECIDA DA SILVA , NF. 3678945, Escrivã de Polícia, Ref. QCE-05, lotada no (a) Delegacia de Policia Civil - DPV II em Cariacica/ES, o afastamento para participação no Congresso Nacional de Segurança Pública a ser realizado no Centro de Convenções do Espírito Santo, em Vitória, ES, no período de 25 a 30 de março de 2025. Esta decisão fundamenta-se no Artigo 78 da Lei Complementar nº 149/2012 e tem como objetivo promover o aprimoramento técnico e capacitação do servidor público.

ANDRÉ MOREIRA GOMES
SECRETÁRIO DE ESTADO DE SEGURANÇA PÚBLICA","15","18"
"PortariaConceder","PORTARIA Nº 283-S DE 15 DE MAIO DE 2025.

O SECRETÁRIO DE ESTADO DE EDUCAÇÃO, no uso das atribuições que lhe confere o artigo 46, alínea ""o"", da Lei 789 de 12 de outubro de 2003 e tendo em vista o que consta do processo nº 2025-PPN8X,

RESOLVE:

Art. 1º CONCEDER Abono de Permanência aos servidores abaixo relacionados, nos termos da Lei Complementar nº 46/1994, alterada pela Lei Complementar nº 789/2003: 

Nº FUNC. NOME CARGO A PARTIR DE
1. 1556875/52 ANA CAROLINA SANTOS LIMA PROFESSOR B 22/04/2025  
2. 309184/63 ANTONIO ROBERTO DOS SANTOS INVESTIGADOR DE POLÍCIA 09/05/2025
3. 178346/1 CARLOS RICARDO GOMES PEREIRA AUDITOR FISCAL DA RECEITA ESTADUAL 15/03/2025
4. 293178/51 CLARA LIMA DE SOUSA INVESTIGADOR DE POLÍCIA 06/05/2025  
5. 261234/51 DANIEL ALVES DA SILVA PROFESSOR A 21/05/2025
6. 178945/52 EDUARDO MOREIRA RAMOS TÉCNICO EM LABORATÓRIO 10/05/2025

Art. 2º Esta Portaria entra em vigor na data de sua publicação, com efeitos retroativos na forma mencionada no artigo 1º desta Portaria.

FERNANDO GONÇALVES DE MELO
SECRETÁRIO DE ESTADO DE EDUCAÇÃO","16","19"
"PortariaConceder","PORTARIA Nº 426-S, DE 18 DE MAIO DE 2025.

O SECRETÁRIO DE ESTADO DE GESTÃO E RECURSOS HUMANOS , no uso das atribuições legais que lhe confere o artigo 46, alínea ""o"", da Lei 3043 de 31 de dezembro de 1975, c/c o artigo 93, § 1º, inciso I, da Lei Complementar nº 46 de 31 de janeiro de 1994 e, tendo em vista o que consta do processo nº 2025-HL5JQ; RESOLVE:

Art. 1º CONCEDER afastamento ao servidor RODRIGO CASTRO MARTINS , nº funcional 3768904, vínculo 3, ocupante do cargo efetivo de Auditor Fiscal da Receita Estadual, vinculado à Secretaria de Estado da Fazenda - SEF, fundamentado no Artigo 57, inciso I, da Lei Complementar nº 46 de 31 de janeiro de 1994, para participar do Congresso Nacional de Tributação em Vitória/ES, no período de 20 a 24 de junho de 2025.

Art. 2º Esta Portaria entra em vigor na data de sua publicação, com efeitos retroativos na forma mencionada no artigo 1º desta Portaria.

MARCELO CALMON DIAS
Secretário de Estado de Gestão e Recursos Humanos","17","20"
"PortariaConceder","PORTARIA Nº 231-S DE 15 DE MARÇO DE 2025.

O SECRETÁRIO DE ESTADO DE EDUCAÇÃO, no uso das atribuições legais que lhe confere o artigo 46, alínea ""o"", da Lei 3089 de 20 de dezembro de 1976, c/c o artigo 93, § 1º, inciso I, da Lei Complementar nº 46 de 31 de janeiro de 1994 e, tendo em vista o que consta do processo nº 2025-PBZ87; RESOLVE:

Art. 1º CONCEDER afastamento ao servidor JOSÉ CARLOS SOUZA SANTOS, nº funcional 1563212, vinculado à Secretaria de Estado de Educação - SEE, ocupante do cargo efetivo de Professor de Matemática I, fundamentado no Artigo 48, inciso III, da Lei Complementar nº 46/94, para participar do Congresso Internacional de Educação Matemática na cidade de São Paulo-SP, no período de 25 a 30 de março de 2025.

Art. 2º Esta Portaria entra em vigor na data de sua publicação, com efeitos retroativos na forma mencionada no artigo 1º desta Portaria.

MARCELO CALMON DIAS
Secretário de Estado de Gestão e Recursos Humanos","18","21"
"PortariaConceder","PORTARIA N.º 123-S, DE 10 DE MAIO DE 2025.

O SECRETÁRIO DE ESTADO DE EDUCAÇÃO, no uso das atribuições que lhe confere o Artigo 97, Inciso III da Constituição do Estado e o Decreto n.º 468-R, publicado em 12 de outubro de 2024, e, tendo em vista o que consta do processo nº 2025-XYF7H,

RESOLVE:

CONCEDER a MÁRCIA APARECIDA LOPES SOUZA, nº funcional 3198654, vinculada à Secretaria de Estado de Educação - SEE, ocupante do cargo efetivo de Professora I, a Gratificação de Desempenho Especial no percentual de 20% (vinte por cento) do seu vencimento básico, fundamentado na Lei Complementar nº 317 de 15 de setembro de 2020 e no Artigo 46 da Lei Estadual nº 9871 de 25 de novembro de 2023, a contar de 10/05/2025.

RIO BONITO
SECRETÁRIO DE ESTADO DE EDUCAÇÃO","19","22"
"PortariaConceder","PORTARIA Nº 375-S, DE 18 DE MAIO DE 2025.

O SECRETÁRIO DE ESTADO DA EDUCAÇÃO , no uso da atribuição que lhe confere o Artigo 97, Inciso III, da Constituição Estadual e Art. 37, Inciso IX, da Constituição Federal, bem como as disposições contidas na Lei Complementar n.º 521 de 15/06/2018 alterada pela Lei Complementar nº 634 de 29/03/2023, Art. 7º, resolve:

CONCEDER a LUIZA ALVES RODRIGUES , NF. 3798754, Pedagoga Escolar I - Ref. QCE-11, vinculada ao Departamento de Educação Básica e Profissional - DEBP, localizada no Núcleo Regional de Educação do Caparaó, a Gratificação por Atividades de Docência na Modalidade Técnico-Profissional no percentual de 35% (trinta e cinco por cento) do seu vencimento básico, a contar de 18/05/2025.

FERNANDO CÉSAR DE SOUZA
SECRETÁRIO DE ESTADO DA EDUCAÇÃO","20","23"
"PortariaConceder","PORTARIA N.º 410-S, DE 25 DE MARÇO DE 2025.

O SECRETÁRIO DE ESTADO DE EDUCAÇÃO , no uso das atribuições que lhe confere a Lei n.º 1347 de 18/09/2007 e as disposições do Decreto Estadual nº 6785, publicado em 22 de maio de 2024, e, tendo em vista o que consta do processo n.º 2025-BKJ9H,

RESOLVE:

CONCEDER afastamento ao servidor ADRIANO SANTOS DE OLIVEIRA , ocupante do cargo de Pedagogo, nº funcional 3847658, vínculo 2, vinculado à Secretaria de Estado de Educação - SEE, fundamentado no Artigo 89, inciso III, da Lei n.º 1234 de 02/12/2005, para participar do Encontro Nacional de Pedagogia Aplicada na Cidade de Belo Horizonte/MG, nos dias 30 e 31 de março de 2025.

JÚLIO CESAR FERREIRA DE ANDRADE

Secretário de Estado de Educação","21","24"
"PortariaConceder","PORTARIA Nº 678-S, DE 15 DE MAIO DE 2025

O SECRETÁRIO DE ESTADO DA EDUCAÇÃO , no uso da atribuição que lhe confere o Art. 98, Inciso II da Constituição Estadual e Art.37, Inciso IX da Constituição Federal e o que consta da Lei Complementar n.º 233 de 10/04/2002 alterada pela Lei Complementar nº 555 de 30/06/2010, Art. 6º, resolve:

CONCEDER a CLÁUDIA ALMEIDA PEREIRA , NF. 7894561, Coordenadora Pedagógica da Educação Especial - Ref. QCE-04, localizado (a) no (a) Escola Estadual de Ensino Fundamental e Médio Dr. Luiz Alves, a Gratificação de Atenção Especializada no percentual de 35% (trinta e cinco por cento) do seu vencimento básico, a contar de 16/05/2025.

ANTONIO GERALDO DOS SANTOS SECRETÁRIO DE ESTADO DA EDUCAÇÃO","22","25"
"PortariaConceder","PORTARIA Nº 456-S, DE 12 DE MARÇO DE 2025

O SECRETÁRIO DE ESTADO DE SAÚDE , no uso das atribuições que lhe confere o artigo 89, inciso III, da Constituição Estadual e considerando as disposições do Decreto nº 4321-R de 20 de março de 2023 e do Artigo 7º da Lei Complementar nº 675 de 25 de junho de 2019, resolve:

CONCEDER afastamento ao servidor JOSÉ CARLOS DA COSTA RIBEIRO , nº funcional 3845678, vínculo 3, ocupante do cargo efetivo de Assistente Administrativo II, vinculado à Secretaria de Estado da Saúde - SES, fundamentado no Artigo 12, inciso IV, da Lei Complementar nº 90 de 05 de dezembro de 2004, para participar do Curso de Especialização em Gestão Hospitalar na Universidade Federal do Espírito Santo - UFES, em Vitória/ES, durante o período compreendido entre 15 de março e 31 de maio de 2025.

ANA PAULA GOMES MOREIRA
Secretária de Estado de Saúde","23","26"
"PortariaConceder","PORTARIA Nº 456-S, DE 23 DE MARÇO DE 2025  
O SECRETÁRIO DE ESTADO DA SAÚDE , no uso da atribuição que lhe confere o Art. 98, Inciso II da Constituição Estadual e Art.37, Inciso IX da Constituição Federal e o que consta da Lei Complementar n.º 233 de 10/04/2002 alterada pela Lei Complementar nº 555 de 30/06/2010, Art. 6º, resolve:  
CONCEDER a MARIA CLARA SOUZA PEREIRA , NF. 7891254, Assistente Social - Ref. QCE-06, localizado (a) no (a) Subcoordenação de Saúde Mental - SSM, a Gratificação de Risco de Vida no percentual de 35% (trinta e cinco por cento) do seu vencimento básico, a contar de 23/03/2025.  
PEDRO LUIS FERNANDES MACHADO  
SECRETÁRIO DE ESTADO DA SAÚDE","24","27"
"PortariaConceder","PORTARIA Nº 327-S, DE 15 DE MARÇO DE 2025

O SECRETÁRIO DE ESTADO DA EDUCAÇÃO , no uso das atribuições que lhe confere o Art. 98, Inciso II da Constituição Estadual e Art.37, Inciso IX da Constituição Federal e o que consta da Lei Complementar n.º 264 de 15/03/2005 alterada pela Lei Complementar nº 721 de 10/08/2019, Art. 7º, resolve:

CONCEDER a MARIA APARECIDA OLIVEIRA TEIXEIRA , NF. 3642895, Coordenadora Pedagógica da Escola Municipal João Paulo II - EMJPII, localizada na Cidade de Vitória-ES, o Benefício de Afastamento com Percepção de Vencimentos no percentual de 100% (cem por cento) do seu vencimento básico, a contar de 15/03/2025, para participação em curso de formação continuada.

Esta Portaria entra em vigor na data de sua publicação.

SÉRGIO AUGUSTO MACHADO
SECRETÁRIO DE ESTADO DA EDUCAÇÃO","25","28"
"PortariaConceder","PORTARIA Nº 123-S, DE 15 DE MARÇO DE 2025.

O SECRETÁRIO DE ESTADO DA EDUCAÇÃO , no uso das atribuições que lhe confere o Artigo 98, Inciso II da Constituição Estadual e a Lei Complementar nº 347 de 12/06/2015, resolve:

CONCEDER afastamento do servidor MARIA APARECIDA SOUZA FERNANDES , nº funcional 509876, vinculo 5, ocupante do cargo efetivo de Assistente Social, vinculado à Secretaria de Estado da Educação - SEE, fundamentado no Artigo 41, inciso III, da Lei Complementar nº 347 de 12/06/2015, para participar do Programa Internacional de Capacitação em Psicologia Escolar, na cidade de Londres/INGLATERRA, no período de 18 e 19 de abril de 2025.

PEDRO MARIO DOS SANTOS SECRETÁRIO DE ESTADO DA EDUCAÇÃO","26","29"
"PortariaConceder","PORTARIA Nº 567-S DE 10 DE JUNHO DE 2025.

O SECRETÁRIO DE ESTADO DA SAÚDE , no uso das atribuições que lhe confere a Lei Complementar nº 894/2016, alterada pela Lei Complementar nº 1101/2023 e o que consta do processo n° 2025-7LHJN; RESOLVE:

Art. 1º CONCEDER Afastamento por Urgência de Serviço Público ao servidor MARIA CLARA PEREIRA DE SOUZA, número funcional 489263/51, ocupante do cargo de ENFERMEIRO na Unidade de Pronto Atendimento (UPA) de Vila Velha, a partir da data de 01/07/2025.

Art. 2º Esta Portaria entra em vigor na data de sua publicação, com efeitos retroativos conforme previsto no artigo 1º desta Portaria.

PAULO CESAR FERREIRA DOS SANTOS
Secretário de Estado da Saúde","27","30"
